tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x24x4	N4quda25xpyHeavyQuarkResidualNormI7double37double2S2_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1	320	1	1	27	1	1	7680	# 34.52 Gflop/s, 165.69 GB/s, tuned Mon Dec 28 19:40:55 2015
24x48x24x4	N4quda3DotId6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1	928	1	1	28	1	1	7424	# 37.60 Gflop/s, 150.42 GB/s, tuned Mon Dec 28 19:41:18 2015
24x48x24x4	N4quda3DotId6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=1	896	1	1	28	1	1	7168	# 37.66 Gflop/s, 150.62 GB/s, tuned Mon Dec 28 19:40:50 2015
24x48x24x4	N4quda3xpyI7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1	832	1	1	28	1	1	0	# 7.33 Gflop/s, 175.91 GB/s, tuned Mon Dec 28 19:41:40 2015
24x48x24x4	N4quda3xpyI7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1	768	1	1	28	1	1	0	# 7.32 Gflop/s, 175.70 GB/s, tuned Mon Dec 28 19:40:59 2015
24x48x24x4	N4quda4axpyI6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1	768	1	1	28	1	1	0	# 28.88 Gflop/s, 173.26 GB/s, tuned Mon Dec 28 19:41:26 2015
24x48x24x4	N4quda4axpyI6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=1	800	1	1	28	1	1	0	# 28.87 Gflop/s, 173.19 GB/s, tuned Mon Dec 28 19:41:00 2015
24x48x24x4	N4quda4axpyI7double2S1_EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1,vol=110592,stride=110592,precision=8,TwistFlavour=1	768	1	1	26	1	1	0	# 17.16 Gflop/s, 102.98 GB/s, tuned Mon Dec 28 19:41:23 2015
24x48x24x4	N4quda4axpyI7double2S1_EE	vol=110592,stride=110592,precision=4,TwistFlavour=1,vol=110592,stride=110592,precision=8,TwistFlavour=1	1024	1	1	11	1	1	0	# 17.15 Gflop/s, 102.88 GB/s, tuned Mon Dec 28 19:40:57 2015
24x48x24x4	N4quda4xpayI6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1	768	1	1	28	1	1	0	# 28.89 Gflop/s, 173.35 GB/s, tuned Mon Dec 28 19:41:27 2015
24x48x24x4	N4quda4xpayI6float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=1	800	1	1	28	1	1	0	# 28.94 Gflop/s, 173.66 GB/s, tuned Mon Dec 28 19:41:01 2015
24x48x24x4	N4quda5Norm2Id7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1	960	1	1	28	1	1	7680	# 36.98 Gflop/s, 147.94 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda8axpyZpbxI7double2S1_EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1,vol=110592,stride=110592,precision=8,TwistFlavour=1	128	1	1	28	1	1	0	# 47.22 Gflop/s, 118.05 GB/s, tuned Mon Dec 28 19:41:21 2015
24x48x24x4	N4quda8axpyZpbxI7double2S1_EE	vol=110592,stride=110592,precision=4,TwistFlavour=1,vol=110592,stride=110592,precision=8,TwistFlavour=1	256	1	1	12	1	1	0	# 46.95 Gflop/s, 117.37 GB/s, tuned Mon Dec 28 19:40:53 2015
24x48x24x4	N4quda8xmyNorm2Id7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1	768	1	1	28	1	1	6144	# 20.84 Gflop/s, 166.72 GB/s, tuned Mon Dec 28 19:40:46 2015
24x48x24x4	copyKernel	dst=vol=110592,stride=110592,precision=4,TwistFlavour=-1,src=vol=110592,stride=110592,precision=8,TwistFlavour=-1	896	1	1	25	1	1	0	# 0.00 Gflop/s, 169.76 GB/s, tuned Mon Dec 28 19:41:17 2015
24x48x24x4	copyKernel	dst=vol=110592,stride=110592,precision=4,TwistFlavour=1,src=vol=110592,stride=110592,precision=8,TwistFlavour=1	1024	1	1	12	1	1	0	# 0.00 Gflop/s, 170.77 GB/s, tuned Mon Dec 28 19:40:47 2015
24x48x24x4	copyKernel	dst=vol=110592,stride=110592,precision=8,TwistFlavour=-1,src=vol=110592,stride=110592,precision=4,TwistFlavour=-1	1024	1	1	27	1	1	0	# 0.00 Gflop/s, 163.17 GB/s, tuned Mon Dec 28 19:41:21 2015
24x48x24x4	copyKernel	dst=vol=110592,stride=110592,precision=8,TwistFlavour=1,src=vol=110592,stride=110592,precision=4,TwistFlavour=1	1024	1	1	28	1	1	0	# 0.00 Gflop/s, 163.27 GB/s, tuned Mon Dec 28 19:40:53 2015
24x48x48x2	N4quda10CovDevCudaId7double2EE	type=exterior_t,comm=0000,reconstruct=8	404	1	1	137	1	1	24577	# 2.43 Gflop/s, 5.94 GB/s, tuned Fri Jan 29 19:23:58 2016
24x48x48x2	N4quda10CovDevCudaId7double2EE	type=exterior_t,comm=0000,reconstruct=8,dagger	200	1	1	277	1	1	6145	# 2.41 Gflop/s, 5.90 GB/s, tuned Fri Jan 29 19:24:12 2016
24x48x48x2	N4quda10CovDevCudaId7double2EE	type=interior,comm=0000,ghost=0000,reconstruct=8	192	1	1	576	1	1	6145	# 53.48 Gflop/s, 760.65 GB/s, tuned Fri Jan 29 19:23:44 2016
24x48x48x2	N4quda10CovDevCudaId7double2EE	type=interior,comm=0000,ghost=0000,reconstruct=8,dagger	208	1	1	532	1	1	0	# 52.63 Gflop/s, 748.51 GB/s, tuned Fri Jan 29 19:23:45 2016
24x48x48x2	N4quda10Gamma5CudaI7double2EE	type=default	352	1	1	315	1	1	9831	# 5.20 Gflop/s, 249.46 GB/s, tuned Fri Jan 29 19:23:43 2016
24x48x48x2	N4quda11axpyCGNorm2I7double26float26float4EE	vol=110592,stride=110592,precision=4,TwistFlavour=-1	448	1	1	28	1	1	7168	# 75.15 Gflop/s, 150.31 GB/s, tuned Fri Jan 29 19:23:17 2016
